sequence_id,char,mouth_target,eye_target,lid_target,emotion,timestamp
0,好,3,10,1,neutral,0.0
0,的,1,11,1,neutral,0.3
0,，,1,11,1,neutral,0.6
0,准,3,12,1,neutral,0.9
0,备,1,11,1,neutral,1.2
0,好,3,11,1,neutral,1.5
0,了,3,10,1,neutral,1.8
0,吗,3,11,1,neutral,2.1
0, ,1,11,1,neutral,2.4
1,请,2,20,2,negative,0.0
1,不,1,19,3,negative,0.3
1,要,2,19,2,negative,0.6
1,这,1,19,2,negative,0.9
1,样,1,17,2,negative,1.2
1,，,2,19,3,negative,1.5
1,准,2,21,2,negative,1.8
1,备,2,19,2,negative,2.1
1,好,1,19,2,negative,2.4
1,了,1,19,2,negative,2.7
1,吗,2,19,3,negative,3.0
1, ,1,11,1,neutral,3.3
2,请,2,17,2,negative,0.0
2,不,2,18,2,negative,0.3
2,要,2,17,2,negative,0.6
2,这,1,20,3,negative,0.9
2,样,1,18,3,negative,1.2
2,，,2,20,2,negative,1.5
2,准,1,18,2,negative,1.8
2,备,1,16,3,negative,2.1
2,好,1,19,3,negative,2.4
2,了,2,18,2,negative,2.7
2,吗,2,16,2,negative,3.0
2, ,1,11,1,neutral,3.3
3,太,5,12,2,positive,0.0
3,棒,4,12,1,positive,0.3
3,了,4,11,2,positive,0.6
3,，,5,12,1,positive,0.9
3,这,3,12,1,positive,1.2
3,是,5,12,2,positive,1.5
3,一,4,12,2,positive,1.8
3,段,5,12,2,positive,2.1
3,测,3,9,2,positive,2.4
3,试,3,10,2,positive,2.7
3, ,1,11,1,neutral,3.0
4,不,5,1,4,surprise,0.0
4,可,4,5,4,surprise,0.3
4,思,5,5,4,surprise,0.6
4,议,4,3,4,surprise,0.9
4,，,4,1,4,surprise,1.2
4,机,5,4,4,surprise,1.5
4,器,5,2,4,surprise,1.8
4,人,4,1,4,surprise,2.1
4,正,5,1,4,surprise,2.4
4,在,4,2,4,surprise,2.7
4,运,5,3,4,surprise,3.0
4,行,5,3,4,surprise,3.3
4, ,1,11,1,neutral,3.6
5,天,4,3,4,surprise,0.0
5,哪,4,3,4,surprise,0.3
5, ,1,11,1,neutral,0.6
6,谢,5,11,1,positive,0.0
6,谢,4,11,2,positive,0.3
6,大,3,12,2,positive,0.6
6,家,4,11,2,positive,0.9
6,的,4,11,2,positive,1.2
6,支,4,12,2,positive,1.5
6,持,5,11,2,positive,1.8
6,，,5,11,2,positive,2.1
6,机,3,12,2,positive,2.4
6,器,5,12,2,positive,2.7
6,人,5,10,1,positive,3.0
6,正,5,12,2,positive,3.3
6,在,3,12,1,positive,3.6
6,运,5,12,1,positive,3.9
6,行,3,10,1,positive,4.2
6, ,1,11,1,neutral,4.5
7,太,5,11,1,positive,0.0
7,棒,3,12,1,positive,0.3
7,了,3,11,2,positive,0.6
7,，,3,12,2,positive,0.9
7,接,4,11,2,positive,1.2
7,下,5,12,2,positive,1.5
7,来,4,11,1,positive,1.8
7,我,4,10,1,positive,2.1
7,们,5,12,2,positive,2.4
7,看,4,12,2,positive,2.7
7, ,1,11,1,neutral,3.0
8,快,4,3,4,surprise,0.0
8,看,4,5,4,surprise,0.3
8,，,4,2,4,surprise,0.6
8,好,4,4,4,surprise,0.9
8,的,4,2,4,surprise,1.2
